Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA
TRAM,438,18102,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),-37.8162,144.984,1,"75,48",POINT (-37.81624599 144.98399196),
TRAM,439,18103,10-Jolimont Rd/Wellington Pde (East Melbourne),-37.8158,144.9793,1,"75,48",POINT (-37.81576899 144.97932492),
TRAM,440,18104,9-Lansdowne St/Wellington Pde (Melbourne City),-37.8155,144.9767,1,"75,48",POINT (-37.815471 144.97666416),
TRAM,441,18105,8-Spring St/Flinders St (Melbourne City),-37.8155,144.9742,1,"75,35",POINT (-37.81553697 144.97417404),
TRAM,442,18108,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),-37.8196,144.9791,1,70,POINT (-37.81958697 144.97913016),
TRAM,443,18116,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),-37.8224,144.9835,1,70,POINT (-37.82238399 144.98353008),
TRAM,444,18118,7D-Olympic Boulevard (Melbourne City),-37.8241,144.9869,1,70,POINT (-37.82413503 144.98685684),
TRAM,445,18155,7D-Olympic Boulevard (Melbourne City),-37.8238,144.9868,1,70,POINT (-37.82382696 144.986751),
TRAM,446,18161,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),-37.8221,144.9828,1,70,POINT (-37.82213703 144.98279784),
TRAM,447,18172,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),-37.8193,144.9784,1,70,POINT (-37.81934901 144.97842096),
TRAM,448,18174,6-Russell St/Flinders St (Melbourne City),-37.8167,144.9702,1,"70,75,35",POINT (-37.81665702 144.97016796),
TRAM,449,18175,5-Swanston St/Flinders St (Melbourne City),-37.8178,144.9665,1,"70,75,35",POINT (-37.81775601 144.96649092),
TRAM,450,18176,4-Elizabeth St/Flinders St (Melbourne City),-37.8184,144.9643,1,"70,75,35",POINT (-37.81841202 144.96428016),
TRAM,451,18178,3-Market St/Flinders St (Melbourne City),-37.8193,144.9613,1,"70,75,35",POINT (-37.81930599 144.96127884),
TRAM,452,18179,D6-Victoria Police Centre/Flinders St (Southbank),-37.8217,144.9532,1,"70,75,35",POINT (-37.821726 144.95321484),
TRAM,453,18180,D5-South Wharf/Wurundjeri Way (Docklands),-37.822,144.9509,1,"70,75,35",POINT (-37.82200104 144.950913),
TRAM,454,18181,D4-Docklands Park/Harbour Esp (Docklands),-37.8217,144.9475,1,"70,75,35",POINT (-37.82172501 144.94750092),
TRAM,455,18182,D3-Stadium Precinct/Harbour Esp (Docklands),-37.8175,144.946,1,"70,75,35",POINT (-37.81746297 144.94596012),
TRAM,456,18183,D2-CentralPier/Harbour Esp (Docklands),-37.8142,144.9446,1,"35,70,75,86,30",POINT (-37.81424898 144.94458384),
TRAM,457,18184,125-Clarendon St/Whiteman St (Southbank),-37.8257,144.9567,1,"12,96,109",POINT (-37.82568798 144.95668416),
TRAM,458,18185,124A-Casino/MCEC/Clarendon St (Southbank),-37.8233,144.9561,1,"12,96,109",POINT (-37.82328903 144.95605704),
TRAM,459,18186,124-Batman Park/Spencer St (Melbourne City),-37.8216,144.9553,1,"12,96,109",POINT (-37.82155401 144.95526504),
TRAM,460,18187,122-Southern Cross Railway Station/Spencer St (Melbourne City),-37.8188,144.9541,1,96,POINT (-37.81876698 144.95409216),
TRAM,461,18189,120-Lonsdale St/Spencer St (Melbourne City),-37.8153,144.9524,1,86,POINT (-37.81531296 144.95238108),
TRAM,462,18190,119-La Trobe St/Spencer St (Melbourne City),-37.8134,144.9515,1,86,POINT (-37.81340496 144.95150196),
TRAM,463,18192,120-Lonsdale St/Spencer St (Melbourne City),-37.815,144.9523,1,86,POINT (-37.81495998 144.95231088),
TRAM,464,18194,122-Southern Cross Railway Station/Spencer St (Melbourne City),-37.8183,144.9537,1,96,POINT (-37.81831896 144.95371812),
TRAM,465,18196,124-Batman Park/Spencer St (Melbourne City),-37.8218,144.9554,1,"12,96,109",POINT (-37.82177298 144.95540616),
TRAM,466,18197,124A-Casino/MCEC/Clarendon St (Southbank),-37.8236,144.9563,1,"12,96,109",POINT (-37.82359098 144.95631012),
TRAM,467,18199,5-Bourke St/William St (Melbourne City),-37.8159,144.9582,1,58,POINT (-37.81587402 144.95825016),
TRAM,468,20549,64-Power St/Glenferrie Rd (Kooyong),-37.8418,145.032,1,16,POINT (-37.84184001 145.031967),
TRAM,469,20550,65-Warra St/Glenferrie Rd (Toorak),-37.84,145.0321,1,16,POINT (-37.840041 145.03214016),
TRAM,470,20551,65-Kooyong Railway Station/Glenferrie Rd (Kooyong),-37.8393,145.0324,1,16,POINT (-37.83933297 145.03243104),
TRAM,471,20552,66-Kooyong Tennis Centre/Glenferrie Rd (Toorak),-37.8385,145.0324,1,16,POINT (-37.83849399 145.03235112),
TRAM,472,20553,66-Vision Australia/Glenferrie Rd (Kooyong),-37.8383,145.0326,1,16,POINT (-37.83833604 145.03261716),
TRAM,473,20554,67-Gardiner Rd/Glenferrie Rd (Hawthorn),-37.8356,145.0329,1,16,POINT (-37.83555702 145.03294008),
TRAM,474,20555,67-Gardiner Rd/Glenferrie Rd (Hawthorn),-37.8355,145.0331,1,16,POINT (-37.835451 145.03309092),
TRAM,475,20556,68-Callantina Rd/Glenferrie Rd (Hawthorn),-37.8334,145.0333,1,16,POINT (-37.83342699 145.03330404),
TRAM,476,18201,7-Flagstaff Railway Station/William St (Melbourne City),-37.812,144.9565,1,58,POINT (-37.81199601 144.95651712),
TRAM,477,18202,8-Franklin St/William St (Melbourne City),-37.8097,144.9555,1,58,POINT (-37.80974304 144.95545404),
TRAM,478,18203,10-Victoria St/Peel St (West Melbourne),-37.8054,144.956,1,58,POINT (-37.805391 144.95602896),
TRAM,479,18204,10-Victoria St/Peel St (West Melbourne),-37.8057,144.9561,1,58,POINT (-37.80569799 144.95607684),
TRAM,480,18205,9-Queen Victoria Market/Peel St (North Melbourne),-37.8074,144.9558,1,58,POINT (-37.80744201 144.95577912),
TRAM,481,18206,9-Queen Victoria Market/39 Peel St (North Melbourne),-37.8072,144.9558,1,58,POINT (-37.80721602 144.95575104),
TRAM,482,18207,8-Franklin St/Peel St (Melbourne City),-37.8094,144.9555,1,58,POINT (-37.80942804 144.95547384),
TRAM,483,18208,7-Flagstaff Railway Station/William St (Melbourne City),-37.8125,144.9568,1,58,POINT (-37.81246104 144.956799),
TRAM,484,18210,5-Bourke St/William St (Melbourne City),-37.8154,144.9582,1,58,POINT (-37.81544004 144.95816016),
TRAM,485,18211,4-Collins St/William St (Melbourne City),-37.8175,144.9591,1,58,POINT (-37.81745703 144.95909184),
TRAM,486,18214,1-Flinders St/Queens Bridge St (Melbourne City),-37.8195,144.9612,1,58,POINT (-37.81951299 144.96123996),
TRAM,487,18215,115-Casino/Southbank/Queens Bridge St (Southbank),-37.8221,144.9612,1,58,POINT (-37.82211696 144.96122484),
TRAM,488,18217,117-York St/Kings Way (South Melbourne),-37.8296,144.9641,1,58,POINT (-37.82961 144.96407496),
TRAM,489,18218,118-Sturt St/Kings Way (Southbank),-37.8305,144.965,1,58,POINT (-37.83053601 144.96500412),
TRAM,490,18219,119-Wells St/Park St (South Melbourne),-37.8328,144.9698,1,58,POINT (-37.83279996 144.96981588),
TRAM,491,18221,119-Wells St/Park St (South Melbourne),-37.8329,144.9698,1,58,POINT (-37.83288996 144.96980184),
TRAM,492,18222,118-Sturt St/Kings Way (Southbank),-37.8311,144.9654,1,58,POINT (-37.83107403 144.96537492),
TRAM,493,18223,117-York St/Kings Way (South Melbourne),-37.8296,144.9639,1,58,POINT (-37.82957103 144.96390612),
TRAM,494,18224,20-Kings Way/Sturt St (Southbank),-37.8301,144.9653,1,1,POINT (-37.83009096 144.96533388),
TRAM,495,18225,19-Miles St/Sturt St (Southbank),-37.8284,144.9658,1,1,POINT (-37.828431 144.96575508),
TRAM,496,18226,18-Grant St/Sturt St (Southbank),-37.8258,144.9666,1,1,POINT (-37.82577897 144.96663384),
TRAM,497,18227,17-Arts Precinct/Sturt St (Southbank),-37.8238,144.9673,1,1,POINT (-37.82381598 144.96725592),
TRAM,498,18229,17-Arts Precinct/Sturt St (Southbank),-37.8241,144.9672,1,1,POINT (-37.82409399 144.96717996),
TRAM,499,18230,18-Grant St/Sturt St (Southbank),-37.8259,144.9667,1,1,POINT (-37.82592396 144.96666408),
TRAM,500,18231,19-Miles St/Sturt St (Southbank),-37.8282,144.9661,1,1,POINT (-37.82818404 144.96605712),
TRAM,501,18232,20-Kings Way/Sturt St (Southbank),-37.8301,144.9654,1,1,POINT (-37.83011904 144.96539004),
TRAM,502,18233,116-City Rd/Kings Way (Southbank),-37.8263,144.9606,1,58,POINT (-37.82626002 144.96057684),
TRAM,503,18341,24-Grattan St/Church St (Hawthorn),-37.8179,145.0186,1,48,POINT (-37.81790604 145.01860704),
TRAM,504,18342,25-Brook St/Church St (Hawthorn),-37.8159,145.0206,1,48,POINT (-37.815921 145.02060216),
TRAM,505,18343,26-Barkers Rd/Church St (Hawthorn),-37.8133,145.0233,1,48,POINT (-37.81325304 145.02325212),
TRAM,506,18347,34-Pakington St/High St (Kew),-37.8056,145.0338,1,48,POINT (-37.80561699 145.03383684),
TRAM,507,18348,35-Cobden St/High St (Kew),-37.805,145.0355,1,48,POINT (-37.80498699 145.03554612),
TRAM,508,18349,36-Parkhill Rd/High St (Kew),-37.8035,145.0398,1,48,POINT (-37.80348903 145.03975488),
TRAM,509,18350,37-Kew Cemetery/High St (Kew),-37.8025,145.0426,1,48,POINT (-37.80247302 145.04256396),
TRAM,510,18351,38-Victoria Park/High St (Kew),-37.8013,145.046,1,48,POINT (-37.80125901 145.04598108),
TRAM,511,18352,39-Harp Rd/High St (Kew),-37.7994,145.0504,1,48,POINT (-37.79941302 145.05043608),
TRAM,512,18353,40-Harp Village/High St (Kew East),-37.7986,145.052,1,48,POINT (-37.79862804 145.05202404),
TRAM,513,18354,41-Clyde St/High St (Kew East),-37.7974,145.0548,1,48,POINT (-37.79743896 145.05475788),
TRAM,514,18355,42-Irymple Ave/High St (Kew East),-37.7964,145.0572,1,48,POINT (-37.79639703 145.05715908),
TRAM,515,18356,43-Kew High School/High St (Kew East),-37.7946,145.0611,1,48,POINT (-37.79465004 145.06108884),
TRAM,516,18357,44-Burke Rd/High St (Kew),-37.7935,145.0637,1,48,POINT (-37.79352999 145.06366212),
TRAM,517,18358,45-Burke Rd/Doncaster Rd (Balwyn North),-37.7932,145.0652,1,48,POINT (-37.79316801 145.06521588),
TRAM,518,18359,46-Wattle Ave/Doncaster Rd (Balwyn North),-37.7928,145.0674,1,48,POINT (-37.79283501 145.06745004),
TRAM,519,18360,47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),-37.7927,145.0714,1,48,POINT (-37.79271198 145.07143992),
TRAM,520,18361,48-Sunburst Ave/Doncaster Rd (Balwyn North),-37.7932,145.0743,1,48,POINT (-37.79321697 145.07426592),
TRAM,521,18362,49-Cityview Rd/Doncaster Rd (Balwyn North),-37.7938,145.0775,1,48,POINT (-37.79375598 145.07746596),
TRAM,522,18363,50-Hill Rd/Doncaster Rd (Balwyn North),-37.7943,145.0812,1,48,POINT (-37.79425899 145.08118908),
TRAM,523,18364,36-St Kilda Primary School/Brighton Rd (Elwood),-37.8701,144.9883,1,67,POINT (-37.87011999 144.98834508),
TRAM,524,18365,38-Wimbledon Ave/Brighton Rd (Elwood),-37.8729,144.9901,1,67,POINT (-37.87288101 144.99007812),
TRAM,525,18367,39-Glen Eira Rd/Brighton Rd (Elwood),-37.876,144.992,1,67,POINT (-37.87596 144.99201816),
TRAM,526,18368,40-Scott St/Brighton Rd (Elwood),-37.8789,144.9939,1,67,POINT (-37.87894701 144.99389196),
TRAM,527,18369,41-Coleridge St/Brighton Rd (Elwood),-37.8808,144.9951,1,67,POINT (-37.88084196 144.99507996),
TRAM,528,18370,42-Hotham St/Brighton Rd (St Kilda East),-37.8829,144.9963,1,67,POINT (-37.88286399 144.99634392),
TRAM,529,18371,43-Brighton Rd/Glenhuntly Rd (Elsternwick),-37.8839,144.9976,1,67,POINT (-37.88390403 144.997578),
TRAM,530,18372,44-Elsternwick Railway Station/Glenhuntly Rd (Elsternwick),-37.8843,145.0006,1,67,POINT (-37.88430597 145.000557),
TRAM,531,18373,45-Elsternwick Shopping Centre/Glenhuntly Rd (Elsternwick),-37.8848,145.0039,1,67,POINT (-37.88475102 145.00394496),
TRAM,532,18374,46-Orrong Rd/Glenhuntly Rd (Elsternwick),-37.8851,145.0062,1,67,POINT (-37.88505099 145.00621116),
TRAM,533,18375,47-Shoobra Rd/Glenhuntly Rd (Elsternwick),-37.8854,145.0091,1,67,POINT (-37.88538804 145.00911312),
TRAM,534,18376,48-Parkside St/Glenhuntly Rd (Elsternwick),-37.8858,145.0122,1,67,POINT (-37.88575596 145.01224116),
TRAM,535,18392,49-Kooyong Rd/Glenhuntly Rd (Elsternwick),-37.8861,145.0151,1,67,POINT (-37.88610201 145.01508588),
TRAM,536,18393,50-Royal Pde/Glenhuntly Rd (Caulfield),-37.8865,145.0183,1,67,POINT (-37.88649801 145.01825892),
TRAM,537,18394,51-Hawthorn Rd/Glenhuntly Rd (Caulfield),-37.887,145.0222,1,67,POINT (-37.88697798 145.02218112),
TRAM,538,18395,52-Jasmine St/Glenhuntly Rd (Caulfield),-37.8872,145.0241,1,67,POINT (-37.88721801 145.02414096),
TRAM,539,18396,53-Glenhuntly Tram Depot/Glenhuntly Rd (Caulfield),-37.8876,145.0271,1,67,POINT (-37.88761104 145.02710988),
TRAM,540,18397,54-Bambra Rd/Glenhuntly Rd (Caulfield),-37.8878,145.0289,1,67,POINT (-37.88783901 145.02890016),
TRAM,541,18398,55-Fallon St/Glenhuntly Rd (Caulfield),-37.8881,145.031,1,67,POINT (-37.88810802 145.030986),
TRAM,542,18399,56-Kean St/Glenhuntly Rd (Caulfield),-37.8884,145.0334,1,67,POINT (-37.88841897 145.03343292),
TRAM,543,18400,57-Laura St/Glenhuntly Rd (Caulfield),-37.8887,145.0355,1,67,POINT (-37.88866998 145.03548492),
TRAM,544,18401,58-Booran Rd/Glenhuntly Rd (Caulfield),-37.889,145.0378,1,67,POINT (-37.88896104 145.037808),
TRAM,545,18403,60-Glenhuntly Shops/Glenhuntly Rd (Glen Huntly),-37.8893,145.0408,1,67,POINT (-37.88930799 145.04076684),
TRAM,546,18404,61-Glenhuntly Railway Station/Glenhuntly Rd (Glen Huntly),-37.8895,145.0428,1,67,POINT (-37.88954802 145.04275008),
TRAM,547,18405,62-Grange Rd/Glenhuntly Rd (Glen Huntly),-37.8898,145.045,1,67,POINT (-37.889838 145.04504004),
TRAM,548,18406,63-Maroona Rd/Glenhuntly Rd (Carnegie),-37.8901,145.0477,1,67,POINT (-37.89014301 145.04765796),
TRAM,549,18407,64-Mernda Ave/Glenhuntly Rd (Carnegie),-37.8904,145.0499,1,67,POINT (-37.89040599 145.04990292),
TRAM,550,18408,65-Mimosa Rd/Glenhuntly Rd (Carnegie),-37.8907,145.0522,1,67,POINT (-37.89071397 145.05219216),
TRAM,551,18409,66-Glenhuntly Rd/Truganini Rd (Carnegie),-37.8911,145.054,1,67,POINT (-37.89106902 145.05404796),
TRAM,552,18410,67-Centre Rd/Truganini Rd (Carnegie),-37.8927,145.0544,1,67,POINT (-37.89269703 145.05436908),
TRAM,553,18411,68-Carnegie/Truganini Rd (Carnegie),-37.8939,145.0558,1,67,POINT (-37.89386496 145.05580512),
TRAM,554,18412,68-East Brighton/Hawthorn Rd (Brighton East),-37.9142,145.0169,1,64,POINT (-37.91422197 145.01688984),
TRAM,555,18413,67-Howell St/Hawthorn Rd (Brighton East),-37.9111,145.0174,1,64,POINT (-37.91109402 145.01739492),
TRAM,556,18414,66-Union St/Hawthorn Rd (Brighton East),-37.9087,145.0178,1,64,POINT (-37.90872999 145.017765),
TRAM,557,18415,65-Davey Ave/Hawthorn Rd (Brighton East),-37.9066,145.0181,1,64,POINT (-37.90657404 145.01814084),
TRAM,558,18416,64-Taylor St/Hawthorn Rd (Brighton East),-37.9041,145.0186,1,64,POINT (-37.904094 145.01859516),
TRAM,559,18417,63-North Rd/Hawthorn Rd (Brighton East),-37.9016,145.0191,1,64,POINT (-37.90157004 145.01907216),
TRAM,637,18730,134-Merribell Ave/Nicholson St (Coburg),-37.7444,144.9777,1,1,POINT (-37.74435903 144.97772796),
TRAM,638,18732,44-Deepdene Park/Whitehorse Rd (Balwyn),-37.8114,145.0687,1,109,POINT (-37.81137501 145.06867116),
TRAM,639,18733,45-Hardwicke St/Whitehorse Rd (Balwyn),-37.8118,145.0718,1,109,POINT (-37.81175004 145.07178516),
TRAM,640,18734,46-Balwyn Cinema/Whitehorse Rd (Balwyn),-37.8122,145.0759,1,109,POINT (-37.81224198 145.07592984),
TRAM,641,18735,47-Balwyn Rd/Whitehorse Rd (Balwyn),-37.8129,145.0815,"1,2",109,POINT (-37.81291896 145.08152388),
TRAM,642,18736,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),-37.8132,145.0838,"1,2",109,POINT (-37.81319904 145.08378792),
TRAM,643,18737,49-Northcote Ave/Whitehorse Rd (Balwyn),-37.8137,145.088,"1,2",109,POINT (-37.81368999 145.087956),
TRAM,644,18738,51-Narrak Rd/Whitehorse Rd (Mont Albert),-37.8146,145.0952,"1,2",109,POINT (-37.81456398 145.09517004),
TRAM,645,18781,134-Orrong Rd/Toorak Rd (Toorak),-37.8418,145.014,1,58,POINT (-37.84175496 145.014048),
TRAM,646,18782,135-Woorigoleen Rd/Toorak Rd (Toorak),-37.8422,145.0176,1,58,POINT (-37.84216599 145.01758284),
TRAM,647,18783,136-Irving Rd/Toorak Rd (Toorak),-37.8425,145.0201,1,58,POINT (-37.84246101 145.02008592),
TRAM,648,18784,137-Kooyong Rd/Toorak Rd (Toorak),-37.8428,145.0231,1,58,POINT (-37.84284396 145.02306492),
TRAM,649,18785,138-Moonga Rd/Toorak Rd (Toorak),-37.8432,145.0262,1,58,POINT (-37.84323096 145.02624804),
TRAM,650,18786,139-Glenbervie Rd/Toorak Rd (Toorak),-37.8436,145.0298,1,58,POINT (-37.84361499 145.02981708),
TRAM,651,18789,112-Lygon St/Elgin St (Carlton),-37.7971,144.9672,1,"6,1",POINT (-37.79711298 144.96715908),
TRAM,652,18790,113-Lytton St/Lygon St (Carlton),-37.7941,144.968,1,"6,1",POINT (-37.79412696 144.96802488),
TRAM,653,18791,114-Princes St/Lygon St (Carlton North),-37.7927,144.9683,1,"6,1",POINT (-37.79268903 144.96826896),
TRAM,654,18792,115-Melbourne Cemetery/Lygon St (Carlton North),-37.7896,144.9688,1,"6,1",POINT (-37.78957998 144.96879708),
TRAM,655,18793,116-Fenwick St/Lygon St (Carlton North),-37.7874,144.9692,1,"6,1",POINT (-37.78737003 144.96918588),
TRAM,656,18794,117-Richardson St/Lygon St (Carlton North),-37.784,144.9697,1,"6,1",POINT (-37.78403598 144.969732),
TRAM,657,18795,118-Pigdon St/Lygon St (Carlton North),-37.7819,144.9701,1,"6,1",POINT (-37.78192404 144.970074),
TRAM,658,18899,26-Alfred Hospital/Commercial Rd (South Yarra),-37.8453,144.9822,1,72,POINT (-37.84527801 144.98222508),
TRAM,659,18918,27-Punt Rd/Commercial Rd (South Yarra),-37.8456,144.9849,1,72,POINT (-37.84563 144.98486316),
TRAM,660,18923,28-Braille Library/Commercial Rd (South Yarra),-37.8459,144.9874,1,72,POINT (-37.84589901 144.98741304),
TRAM,661,18931,29-Porter St/Commercial Rd (South Yarra),-37.8463,144.9906,1,72,POINT (-37.846314 144.99058284),
TRAM,662,18933,30-Prahran Market/Commercial Rd (South Yarra),-37.8465,144.9923,1,72,POINT (-37.84654098 144.99227088),
TRAM,663,18934,31-Chapel St/Commercial Rd (South Yarra),-37.8468,144.994,1,72,POINT (-37.84676004 144.99401508),
TRAM,664,18935,32-Surrey Rd/Malvern Rd (South Yarra),-37.8473,144.9978,1,72,POINT (-37.84729302 144.99780696),
TRAM,665,18936,33-Francis St/Malvern Rd (South Yarra),-37.8477,145.0004,1,72,POINT (-37.84765302 145.00043388),
TRAM,666,18937,34-Williams Rd/Malvern Rd (South Yarra),-37.848,145.003,1,72,POINT (-37.84800402 145.00305),
TRAM,667,18938,35-Mathoura Rd/Malvern Rd (Toorak),-37.8485,145.0067,1,72,POINT (-37.84848003 145.00668492),
TRAM,668,18939,36-A'Beckett St/Malvern Rd (Toorak),-37.8489,145.01,1,72,POINT (-37.84892301 145.00999188),
TRAM,669,18940,37-Orrong Rd/Malvern Rd (Toorak),-37.8492,145.0121,1,72,POINT (-37.84919301 145.01207592),
TRAM,670,18941,38-Clendon Rd/Malvern Rd (Toorak),-37.8496,145.0154,1,72,POINT (-37.84961799 145.01535984),
TRAM,671,18942,39-Irving Rd/Malvern Rd (Toorak),-37.8501,145.0187,1,72,POINT (-37.85005197 145.01867904),
TRAM,672,18943,40-Kooyong Rd/Malvern Rd (Toorak),-37.8504,145.0213,1,72,POINT (-37.85040297 145.02130596),
TRAM,673,18944,41-Albany Rd/Malvern Rd (Toorak),-37.8508,145.024,1,72,POINT (-37.85076297 145.02395592),
TRAM,674,18945,42-Lauriston Girls School/Malvern Rd (Toorak),-37.8511,145.0261,1,72,POINT (-37.85105196 145.02614112),
TRAM,675,18946,43-Glenferrie Rd/Malvern Rd (Toorak),-37.8515,145.0299,1,72,POINT (-37.85154696 145.02986712),
TRAM,676,18947,44-Plant St/Malvern Rd (Malvern),-37.8519,145.0325,1,72,POINT (-37.85189697 145.03249512),
TRAM,677,18948,45-Elizabeth St/Malvern Rd (Malvern),-37.8523,145.0353,1,72,POINT (-37.85225904 145.03530384),
TRAM,678,18949,46-Meredith St/Malvern Rd (Malvern),-37.8528,145.0392,1,72,POINT (-37.85278401 145.03923396),
TRAM,679,18950,47-Tooronga Rd/Malvern Rd (Malvern),-37.8531,145.042,1,72,POINT (-37.85312799 145.04198688),
TRAM,680,18951,48-Edgar St/Malvern Rd (Malvern),-37.8536,145.0456,1,72,POINT (-37.85355603 145.04555484),
TRAM,681,18952,49-Kenilworth Gr/Malvern Rd (Malvern),-37.8539,145.0483,1,72,POINT (-37.85390001 145.04832),
TRAM,682,18953,50-Burke Rd/Malvern Rd (Malvern),-37.8543,145.0515,1,72,POINT (-37.85432202 145.05149088),
TRAM,683,18954,51-Gardiner Railway Station/Burke Rd (Hawthorn East),-37.8529,145.0527,1,72,POINT (-37.85285403 145.05267708),
TRAM,684,18955,52-Harris Ave/Burke Rd (Hawthorn East),-37.8498,145.053,1,72,POINT (-37.84977801 145.05304212),
TRAM,685,18956,53-Faircroft Ave/Burke Rd (Hawthorn East),-37.8482,145.0534,1,72,POINT (-37.84817097 145.05339204),
TRAM,686,18957,54-Toorak Rd/Burke Rd (Glen Iris),-37.8458,145.0539,1,72,POINT (-37.84580001 145.05387408),
TRAM,687,18958,55-Middle Rd/Burke Rd (Hawthorn East),-37.8438,145.0542,1,72,POINT (-37.84379598 145.05424488),
TRAM,688,18959,56-Anderson Rd/Burke Rd (Hawthorn East),-37.8419,145.0546,1,72,POINT (-37.84185603 145.05462612),
TRAM,689,18960,57-Pine Ave/Burke Rd (Hawthorn East),-37.8403,145.0549,1,72,POINT (-37.840257 145.05494112),
TRAM,690,18961,58-Leura Gr/Burke Rd (Hawthorn East),-37.8382,145.0553,1,72,POINT (-37.83816396 145.05533604),
TRAM,691,18962,59-Pleasant Rd/Burke Rd (Hawthorn East),-37.8354,145.0558,1,72,POINT (-37.835415 145.05582888),
TRAM,692,18963,60-Campbell Rd/Burke Rd (Hawthorn East),-37.8337,145.0562,1,72,POINT (-37.83371697 145.05615792),
TRAM,693,18964,61-Riversdale Rd/Burke Rd (Hawthorn East),-37.8316,145.0566,1,72,POINT (-37.83157002 145.05656616),
TRAM,694,18965,62-Camberwell Shopping Centre/755 Burke Rd (Hawthorn East),-37.8302,145.0568,1,72,POINT (-37.830204 145.05681816),
TRAM,695,18966,63-Prospect Hill Rd/Burke Rd (Hawthorn East),-37.8282,145.0572,1,72,POINT (-37.82821896 145.05722208),
TRAM,696,18967,64-Camberwell Station/Burke Rd (Hawthorn East),-37.8261,145.0576,1,72,POINT (-37.82605401 145.05763104),
TRAM,697,18968,65-Victoria Rd/Burke Rd (Hawthorn East),-37.8236,145.0581,1,72,POINT (-37.82358297 145.05806016),
TRAM,698,18969,66-Rathmines Rd/Burke Rd (Hawthorn East),-37.8215,145.0585,1,72,POINT (-37.82148102 145.05846696),
TRAM,699,18970,67-Camberwell Girls Grammar/Burke Rd (Hawthorn East),-37.8186,145.0591,1,72,POINT (-37.81858896 145.05905412),
TRAM,700,18971,68-Mont Albert Rd/Burke Rd (Kew),-37.816,145.0595,1,72,POINT (-37.81599201 145.05954192),
